City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pravokubanskiy,43.9172,41.8841,9.78,92,100,0.41,RU,1681254407
1,hofn,64.2539,-15.2082,4.9,74,97,4.6,IS,1681254160
2,port alfred,-33.5906,26.891,12.88,86,100,1.34,ZA,1681254351
3,aasiaat,68.7098,-52.8699,-8.51,97,42,2.82,GL,1681254192
4,kisangani,0.5167,25.2,20.27,99,98,1.41,CD,1681254408
5,ulagan,50.6321,87.9563,-2.94,86,100,3.24,RU,1681254408
6,mataura,-46.1927,168.8643,11.38,97,100,1.47,NZ,1681254307
7,rikitea,-23.1203,-134.9692,24.71,71,100,2.85,PF,1681254350
8,dikson,73.5069,80.5464,-24.71,96,97,7.5,RU,1681254301
9,hithadhoo,-0.6,73.0833,27.87,70,6,0.82,MV,1681254296
10,caluquembe,-13.7833,14.6833,16.95,80,78,1.34,AO,1681254408
11,clyde river,70.4692,-68.5914,-16.87,78,100,10.8,CA,1681254194
12,ruston,32.5232,-92.6379,22.9,38,0,3.09,US,1681254208
13,ndele,8.4109,20.6473,27.55,55,100,3.55,CF,1681254408
14,arraial do cabo,-22.9661,-42.0278,24.92,73,75,5.66,BR,1681254408
15,trairi,-3.2778,-39.2689,24.09,87,100,2.17,BR,1681254160
16,kruisfontein,-34.0033,24.7314,9.94,80,99,2.35,ZA,1681254409
17,nikolskoye,59.7035,30.7861,4.95,87,100,1.44,RU,1681254300
18,khatanga,71.9667,102.5,-15.06,82,100,6.3,RU,1681254409
19,santa rosa,14.3122,121.1114,26.72,82,100,1.86,PH,1681254409
20,veraval,20.9,70.3667,25.78,62,1,6.42,IN,1681254409
21,klaksvik,62.2266,-6.589,3.51,80,99,0.96,FO,1681254409
22,sayaxche,16.5167,-90.1667,30.75,38,70,2.25,GT,1681254410
23,susanville,40.4163,-120.653,17.91,29,0,6.17,US,1681254410
24,jiwani,25.05,61.7417,25.05,76,65,2.77,PK,1681254410
25,albany,42.6001,-73.9662,21.23,51,100,5.81,US,1681254149
26,luderitz,-26.6481,15.1594,16.22,54,43,2.28,NA,1681254410
27,san jeronimo,-11.9472,-75.2829,11.87,71,50,0.77,PE,1681254410
28,busselton,-33.65,115.3333,19.92,70,38,6.87,AU,1681254043
29,tilichiki,60.4667,166.1,-14.97,80,72,4.86,RU,1681254410
30,calbuco,-41.768,-73.1273,14.56,95,96,1.95,CL,1681254184
31,saint george,37.1041,-113.5841,31.81,14,0,9.26,US,1681254312
32,ushuaia,-54.8,-68.3,1.81,80,75,7.72,AR,1681254129
33,hermanus,-34.4187,19.2345,9.89,73,72,3.94,ZA,1681254388
34,agadir,30.4202,-9.5982,24.25,42,0,1.81,MA,1681254411
35,kutum,14.2,24.6667,25.75,17,100,7.93,SD,1681254301
36,kapaa,22.0752,-159.319,26.22,78,100,4.02,US,1681254062
37,bonthe,7.5264,-12.505,24.36,88,59,4.06,SL,1681254411
38,buraydah,26.326,43.975,22.51,55,100,7.6,SA,1681254411
39,ribeira grande,38.5167,-28.7,15.99,87,100,4.02,PT,1681254301
40,jamestown,42.097,-79.2353,17.8,36,0,8.75,US,1681254307
41,avarua,-21.2078,-159.775,28.03,61,60,5.14,CK,1681254177
42,changtu,42.7788,124.0955,3.88,20,0,6.51,CN,1681254412
43,hamilton,39.1834,-84.5333,23.05,30,2,2.76,US,1681254126
44,port elizabeth,-33.918,25.5701,13.51,84,0,2.57,ZA,1681254299
45,saint-philippe,-21.3585,55.7679,23.77,80,5,2.99,RE,1681254412
46,souillac,-20.5167,57.5167,25.21,94,75,1.54,MU,1681254063
47,kodiak,57.79,-152.4072,4.73,81,100,3.09,US,1681254204
48,havelock,34.8791,-76.9013,19.99,53,0,4.12,US,1681253966
49,fukue,32.6881,128.8419,16.15,64,100,8.1,JP,1681254412
50,presidencia roque saenz pena,-26.7852,-60.4388,27.57,42,14,2.05,AR,1681254413
51,pevek,69.7008,170.3133,-25.63,96,93,1.81,RU,1681254413
52,abu kamal,34.4506,40.9171,18.24,79,10,1.51,SY,1681254413
53,caninde,-4.3589,-39.3117,23.18,91,100,0.67,BR,1681254413
54,butaritari,3.0707,172.7902,27.59,76,100,5.8,KI,1681254307
55,punta arenas,-53.15,-70.9167,4.06,56,40,4.12,CL,1681254296
56,ketchikan,55.3422,-131.6461,8.26,61,40,4.63,US,1681254388
57,codrington,-38.2667,141.9667,16.42,85,100,6.99,AU,1681254298
58,bathsheba,13.2167,-59.5167,26.34,69,20,6.17,BB,1681254072
59,faya,18.3851,42.4509,14.29,54,0,1.21,SA,1681254414
60,hervey bay,-25.2986,152.8535,22.79,52,44,3.56,AU,1681254414
61,hasaki,35.7333,140.8333,18.45,78,100,13.53,JP,1681254414
62,mizdah,31.4451,12.9801,10.51,59,0,0.58,LY,1681254414
63,wattegama,6.7989,81.4808,22.93,89,20,1.43,LK,1681254414
64,porosozero,62.7191,32.727,0.95,93,99,1.64,RU,1681254415
65,talnakh,69.4865,88.3972,-24.78,98,100,1.97,RU,1681254415
66,samarinda,-0.5,117.15,23.7,98,39,0.2,ID,1681254206
67,bluff,-46.6,168.3333,11.56,91,100,9.09,NZ,1681254062
68,wismar,53.9,11.4667,4.03,94,21,1.79,DE,1681254415
69,ternate,0.8,127.4,27.39,78,48,1.94,ID,1681254199
70,sao filipe,14.8961,-24.4956,22.26,69,87,3.86,CV,1681254309
71,tanout,14.9709,8.8879,27.47,18,58,7.72,NE,1681254159
72,zhigansk,66.7697,123.3711,-21.27,91,18,3.27,RU,1681254416
73,chokurdakh,70.6333,147.9167,-21.59,90,45,1.73,RU,1681254045
74,leningradskiy,69.3833,178.4167,-17.04,88,98,3.81,RU,1681254351
75,acapulco,16.8634,-99.8901,29.9,58,40,4.63,MX,1681254379
76,port hardy,50.6996,-127.4199,6.05,70,43,1.22,CA,1681254416
77,nisia floresta,-6.0911,-35.2086,26.45,83,69,2.83,BR,1681254416
